seed,player,num_rounds,risk,wealth,total_rent_paid,properties_owned,passed_go_count,neighborhood_completeness,loser
190,Player 2,20,1,-2.19,80,7,2,1.0,2
191,Player 1,65,0,478.3,156,9,10,1.0,2
191,Player 2,65,1,-26.0,247,12,8,2.0,2
192,Player 1,68,0,85.09,252,11,10,2.0,2
192,Player 2,68,1,-4.97,168,11,11,1.0,2
193,Player 1,49,0,-23.27,36,11,8,2.0,1
193,Player 2,49,1,0.0,140,8,7,1.0,1
194,Player 1,45,0,-10.0,36,10,8,2.0,1
194,Player 2,45,1,493.72,67,11,7,1.0,1
195,Player 1,24,0,-8.0,18,9,4,1.0,1
195,Player 2,24,1,19.04,14,7,3,0.0,1
196,Player 1,20,0,-12.0,12,7,2,0.0,1
196,Player 2,20,1,236.16,0,7,3,0.0,1
197,Player 1,74,0,216.0,130,11,11,1.0,2
197,Player 2,74,1,-16.0,232,13,12,2.0,2
198,Player 1,22,0,56.0,0,7,3,1.0,2
198,Player 2,22,1,-4.23,56,6,1,0.0,2
199,Player 1,52,0,81.09,102,7,5,0.0,2
199,Player 2,52,1,-100.0,72,11,8,0.0,2
200,Player 1,69,0,199.0,117,11,9,0.0,2
200,Player 2,69,1,-67.13,133,10,7,0.0,2
201,Player 1,9,0,-28.0,38,5,1,0.0,1
201,Player 2,9,1,46.73,0,6,1,0.0,1
202,Player 1,17,0,-8.0,48,7,3,0.0,1
202,Player 2,17,1,53.62,30,7,2,1.0,1
203,Player 1,11,0,-8.0,16,7,2,0.0,1
203,Player 2,11,1,215.77,0,4,1,0.0,1
204,Player 1,54,0,68.0,122,8,8,0.0,2
204,Player 2,54,1,-26.0,175,13,8,2.0,2
205,Player 1,12,0,-65.6,20,5,1,0.0,1
205,Player 2,12,1,0.0,0,6,2,0.0,1
206,Player 1,39,0,-60.51,34,10,6,0.0,1
206,Player 2,39,1,243.53,58,8,5,1.0,1
207,Player 1,28,0,-2.0,32,9,5,0.0,1
207,Player 2,28,1,328.38,66,7,5,0.0,1
208,Player 1,6,0,-100.0,22,4,0,0.0,1
208,Player 2,6,1,120.34,0,5,1,0.0,1
209,Player 1,11,0,-93.07,25,6,1,0.0,1
209,Player 2,11,1,60.02,0,5,0,0.0,1
210,Player 1,33,0,338.69,14,9,5,2.0,2
210,Player 2,33,1,-25.0,68,7,5,1.0,2
211,Player 1,9,0,-100.0,10,5,1,0.0,1
211,Player 2,9,1,384.41,0,3,1,0.0,1
212,Player 1,18,0,469.81,25,6,3,0.0,2
212,Player 2,18,1,-9.23,99,7,2,0.0,2
213,Player 1,14,0,186.58,39,6,1,0.0,2
213,Player 2,14,1,-2.41,4,7,2,0.0,2
214,Player 1,29,0,-10.0,22,10,5,1.0,1
214,Player 2,29,1,16.0,34,8,4,0.0,1
215,Player 1,50,0,-16.0,106,9,8,1.0,1
215,Player 2,50,1,264.55,112,10,6,1.0,1
216,Player 1,15,0,31.38,6,9,2,1.0,2
216,Player 2,15,1,-61.64,36,6,2,0.0,2
217,Player 1,16,0,0.0,33,6,2,0.0,2
217,Player 2,16,1,-66.24,0,6,2,0.0,2
218,Player 1,47,0,-96.0,100,10,6,0.0,1
