seed,player,num_rounds,risk,wealth,total_rent_paid,properties_owned,passed_go_count,neighborhood_completeness,loser
197,Player 1,164,0,2393,892,12,23,2.0,1
197,Player 2,164,1,2817,715,16,25,3.0,1
198,Player 1,22,0,-22,58,10,3,0.0,1
198,Player 2,22,1,162,36,9,2,2.0,1
199,Player 1,26,0,440,34,9,3,0.0,2
199,Player 2,26,1,-10,64,10,3,0.0,2
200,Player 1,78,0,122,241,15,12,2.0,1
200,Player 2,78,1,288,343,13,11,0.0,1
201,Player 1,81,0,789,479,13,13,0.0,2
201,Player 2,81,1,721,228,15,12,1.0,2
202,Player 1,17,0,14,10,10,2,0.0,2
202,Player 2,17,1,-24,14,6,1,0.0,2
203,Player 1,105,0,739,592,13,13,2.0,1
203,Player 2,105,1,871,451,15,15,4.0,1
204,Player 1,108,0,1445,755,12,15,1.0,1
204,Player 2,108,1,1465,260,16,19,2.0,1
205,Player 1,9,0,826,0,4,1,1.0,2
205,Player 2,9,1,-26,26,8,0,0.0,2
206,Player 1,17,0,-11,74,9,3,0.0,1
206,Player 2,17,1,401,33,9,2,1.0,1
207,Player 1,39,0,58,28,11,4,1.0,2
207,Player 2,39,1,-8,96,11,5,0.0,2
208,Player 1,25,0,115,31,11,2,1.0,2
208,Player 2,25,1,-5,56,11,4,0.0,2
209,Player 1,50,0,-20,189,12,7,0.0,1
209,Player 2,50,1,330,229,11,6,1.0,1
210,Player 1,44,0,-13,120,13,8,2.0,1
210,Player 2,44,1,63,137,12,5,2.0,1
211,Player 1,34,0,-24,134,10,5,1.0,1
211,Player 2,34,1,124,80,11,6,1.0,1
212,Player 1,23,0,448,8,8,4,0.0,2
212,Player 2,23,1,-58,56,9,2,3.0,2
213,Player 1,23,0,-47,16,7,2,1.0,1
213,Player 2,23,1,207,49,9,3,0.0,1
214,Player 1,37,0,-39,151,13,5,2.0,1
214,Player 2,37,1,279,52,10,5,1.0,1
215,Player 1,19,0,-200,4,8,2,0.0,1
215,Player 2,19,1,0,24,10,3,1.0,1
216,Player 1,13,0,-50,0,8,1,0.0,1
216,Player 2,13,1,140,10,8,2,0.0,1
217,Player 1,12,0,1136,14,5,2,0.0,2
217,Player 2,12,1,-156,10,9,2,1.0,2
218,Player 1,60,0,314,262,13,9,1.0,2
